Metro,Date,ZORI,ZHVI,Income,Population,AffordabilityRatio
"Boulder, CO",2016-12-31,1587.6886752298403,498751.417877248,95363.0,326831.0,5.230030702444848
"Pueblo, CO",2016-12-31,841.0649870211244,151527.6614232702,65161.0,169422.0,2.3254348678392014
"Grand Junction, CO",2016-12-31,915.1844179199734,222203.8314516105,64722.0,159681.0,3.4332040334292895
"Colorado Springs, CO",2017-01-31,1178.3060709141805,273499.9666685649,89792.0,768832.0,3.0459279965761414
"Boulder, CO",2017-01-31,1614.9545166700218,502846.0398051939,95363.0,326831.0,5.272967920526765
"Pueblo, CO",2017-01-31,839.6762414024493,152748.67750361786,65161.0,169422.0,2.3441733169168346
"Grand Junction, CO",2017-01-31,919.9869443583586,223243.2443215727,64722.0,159681.0,3.4492636865605624
"Colorado Springs, CO",2017-02-28,1191.5947980028618,275739.9115521332,89792.0,768832.0,3.0708739258746127
"Boulder, CO",2017-02-28,1632.8544004081232,506632.53143169614,95363.0,326831.0,5.312674008071224
"Pueblo, CO",2017-02-28,847.5362886690502,153937.44280972247,65161.0,169422.0,2.3624168261647682
"Grand Junction, CO",2017-02-28,926.0430971460464,224301.8120965187,64722.0,159681.0,3.465619296321478
"Colorado Springs, CO",2017-03-31,1207.8609966714334,277941.7016588549,89792.0,768832.0,3.0953949311615165
"Boulder, CO",2017-03-31,1657.347994954372,510625.4886702573,95363.0,326831.0,5.354545145079929
"Pueblo, CO",2017-03-31,849.2127606918393,154887.42575941328,65161.0,169422.0,2.37699583737839
"Grand Junction, CO",2017-03-31,942.1323408987748,225328.6391212387,64722.0,159681.0,3.4814844893736088
"Colorado Springs, CO",2017-04-30,1222.1403275091088,280279.26552091306,89792.0,768832.0,3.121428028342314
"Boulder, CO",2017-04-30,1662.5926711757436,514332.5274013509,95363.0,326831.0,5.39341806991549
"Pueblo, CO",2017-04-30,870.6392130517926,155657.8203177022,65161.0,169422.0,2.388818776840475
